kernel,resident_us,warm_us,device_speedup,shape,errors,hardware,date
aten_abs,1341.632,1387.424,1.034,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_acos,1332.160,1370.998,1.029,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_adaptive_avg_pool2d,711.552,5596.202,7.865,B=4_C=32_H=256_W=256_OH=128_OW=128,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_add,322.176,492.374,1.528,B=11_C=45_H=91_W=91,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_add_clamp,879.072,6735.363,7.662,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_addcdiv,1138.720,8659.930,7.605,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_addcmul,1144.448,8688.554,7.592,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_angle_complex_scalarized,899.520,6699.270,7.448,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_angle_real,825.920,4902.006,5.935,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_as_complex_cpu,8841.600,9301.261,1.052,N=2030108,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_asin,1321.856,1381.533,1.045,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_asinh,1387.136,1413.635,1.019,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_atan,1354.176,1381.366,1.020,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_atan2,900.384,6719.187,7.463,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_atanh,1366.656,1379.034,1.009,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_avg_pool2d,47.296,58.621,1.239,B=2_C=4_H=16_W=16,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_batch_norm_cpu_entry,633.120,4686.989,7.403,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_batch_norm_transform_cpu,468.160,454.921,0.972,N=32_C=64_H=64_W=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_blas_copy_cpu,203.616,1730.698,8.500,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_cat_serial_cpu,239.040,1760.736,7.366,R=774_K=3096_M=581,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_ceil,1354.176,1379.501,1.019,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_channel_shuffle,1347.552,1382.368,1.026,B=14_CPG=28_G=14_H=28_W=28,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_channel_shuffle_cpu,1363.776,1500.534,1.100,B=17_CPG=26_G=35_S=284,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_clamp,633.024,4704.394,7.432,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_clamp_cpu,1136.416,8575.011,7.546,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_clamp_max_scalar_cpu,635.872,4652.237,7.316,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_clamp_min_scalar_cpu,617.472,4667.053,7.558,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_clamp_scalar_cpu,629.568,4672.333,7.421,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_complex_scalarized,406.496,3495.082,8.598,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_conj_complex_scalarized,1574.208,3648.413,2.318,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_conv1d,4695.424,7427.430,1.582,B=32_IC=64_OC=128_W=4096_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_conv2d_columns_cpu,1297.856,1405.213,1.083,C=11_H=61_K=11_W=61,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_convert_coo_to_csr_cpu,963.743999,993.958400,1.031351,N=4194304_R=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_convert_csr_to_coo_cpu,856.863998,1282.480000,1.496714,N=4194304_R=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_copy_cpu,206.144,1741.664,8.449,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_copy_tensor_array_cpu,207.552,1756.870,8.465,N=8192_B=512,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_cos,1373.568,1446.454,1.053,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_cosh,1490.272,1915.846,1.286,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_cross,47958.400,92580.345,1.930,N=1398101,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_cross_cpu_backend,47947.808,92465.955,1.928,V=1398101,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_diff_cpu,6678.464001,27680.828801,4.144786,N=16777216,0,Jetson_AGX_Orin_sm87_CUDA12.6_CUB,2026-09-06
aten_dilated_convolution_cpu,413.536,439.472,1.063,C=16_O=32_H=128_W=128_K=3_D=2,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_div,875.904,6646.237,7.588,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_dropout_feature_noise_cpu,452.608,458.602,1.013,B=32_C=64_H=64_W=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_embedding_bag_counts_cpu,7761.439999,21047.926400,2.711858,N=16777216_E=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6_CUB,2026-09-06
aten_elu,641.568,4707.037,7.337,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_elu_backward,1146.048,8557.318,7.467,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_erf,637.440,4691.459,7.360,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_erfc,637.856,4680.016,7.337,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_exp,1622.656,1675.581,1.033,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_exp2,633.440,4671.706,7.375,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_expm1,632.608,4677.162,7.393,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_flatten_nd_linear_cpu,1115.488,1157.059,1.037,N=242_K=323_B=81_M=161,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_floor,1562.272,1710.739,1.095,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_fmax,881.728,6654.192,7.547,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_fmin,887.904,6682.522,7.526,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_fmod,949.280,6791.219,7.154,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_frac,652.576,4708.326,7.215,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu,637.792,4674.125,7.329,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu_backward_cpu_exact,1139.872,8657.059,7.595,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu_backward_cpu_tanh,7126.400,14368.563,2.016,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu_cpu_exact,627.968,4667.242,7.432,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu_cpu_tanh,632.256,4664.192,7.377,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_glu,1074.144,6884.490,6.409,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_glu_backward,1439.808,8901.302,6.182,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_glu_jvp,1838.272,11005.802,5.987,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardshrink,636.480,4703.408,7.390,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardsigmoid,650.272,4706.509,7.238,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardsigmoid_backward,891.296,6669.328,7.483,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardswish,640.352,4714.131,7.362,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardswish_backward,1151.008,8622.880,7.492,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardtanh,635.520,4683.222,7.369,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardtanh_backward,890.304,6683.958,7.507,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hspmm_cpu,353.312000,2057.155200,5.822489,R=64_C=4096_N=4096,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_huber_backward,883.552,6666.742,7.545,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
