application,source,function,coverage,upstream_file,upstream_lines,missing_operator,frontend_ok,raise_ok,debufferize_ok,matcher_ok,linalg_ops,residual_loops,matched_groups,matcher_bodies,launches
mtop_iso_elasticity,mtop_iso_elasticity_dfem_2d.c,mfem_app_mtop_iso_elasticity_dfem_2d,complete_hot_path,miniapps/mtop/mtop_solvers.cpp,376-410,,true,true,true,true,76,0,16,22,16
dfem_minimal_surface,dfem_minimal_surface_2d.c,mfem_app_dfem_minimal_surface_2d,complete_hot_path,miniapps/dfem/dfem-minimal-surface.cpp,308-356,,true,true,true,true,34,2,8,9,8
ex35p,ex35p_pa_operators.c,mfem_app_ex35p_h1_3d,complete_operator_branch,examples/ex35p.cpp,369-376,,true,true,true,true,94,0,19,28,19
ex35p,ex35p_pa_operators.c,mfem_app_ex35p_hcurl_3d_partial,partial_operator_branch,examples/ex35p.cpp,379-382,VectorFEMass,true,true,true,true,146,0,29,44,29
ex35p,ex35p_pa_operators.c,mfem_app_ex35p_hdiv_3d_partial,partial_operator_branch,examples/ex35p.cpp,385-388,VectorFEMass,true,true,true,true,66,0,12,21,12
ex9p,ex9p_mass_convection_2d.c,mfem_app_ex9p_mass_convection_2d,complete_hot_path,examples/ex9p.cpp,388-404;704-709,mass_solver,true,true,true,true,42,0,9,13,9
grad_div,grad_div_3d.c,mfem_app_grad_div_3d_partial,partial_operator_branch,miniapps/hdiv-linear-solver/grad_div.cpp,203-206,VectorFEMass,true,true,true,true,66,0,12,21,12
abs_l1_jacobi,abs_l1_jacobi_operators.c,mfem_app_abs_l1_mass_3d,complete_operator_branch,miniapps/diag-smoothers/abs-l1-jacobi.cpp,279-309,,true,true,true,true,24,0,5,7,5
abs_l1_jacobi,abs_l1_jacobi_operators.c,mfem_app_abs_l1_diffusion_3d,complete_operator_branch,miniapps/diag-smoothers/abs-l1-jacobi.cpp,279-309,,true,true,true,true,70,0,14,21,14
abs_l1_jacobi,abs_l1_jacobi_operators.c,mfem_app_abs_l1_curlcurl_3d_partial,partial_operator_branch,miniapps/diag-smoothers/abs-l1-jacobi.cpp,294-301,VectorFEMass,true,true,true,true,146,0,29,44,29
navier_tgv,navier_tgv_pressure_diffusion_3d.c,mfem_app_navier_tgv_pressure_diffusion_3d,partial_application,miniapps/fluids/navier/navier_solver.cpp,153-161,VectorMass;VectorDiffusion;VectorConvectionNLF;discrete_divergence;discrete_gradient,true,true,true,true,70,0,14,21,14
