function,ne,d1d,q1d,raised_iterations,native_iterations,correctness,raised_runtime_us,mfem_native_runtime_us,raised_over_native,native_components,comparison_quality,comparison_scope,hardware,measurement_statistic
mfem_app_mtop_iso_elasticity_dfem_2d,1024,4,5,5,,PASS,22691.769619,,,interpolation+elasticity_qpoint+integration,UNAVAILABLE,no equivalent public MFEM CUDA PA microkernel entry point,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_dfem_minimal_surface_2d,1024,4,5,5,,FAIL,,,,interpolation+minimal_surface_qpoint+integration,CORRECTNESS_FAIL,raised timing withheld because max_abs=max_rel=0.20337545654012545,Jetson_Orin_sm87_MAXN_CUDA12.6,repeated_process_runs_1_to_4
mfem_app_ex35p_h1_3d,1024,4,5,5,20,PASS,63628.940796,440.792000,144.351,diffusion_apply_3d+mass_apply_3d,COMPONENT_SUM,sum of separately measured resident MFEM CUDA PA kernel medians,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_ex35p_hcurl_3d,1024,4,5,5,20,PASS,300323.993620,25960.494400,11.569,curlcurl_apply_3d+hcurl_mass_apply_3d,COMPONENT_SUM,sum of separately measured resident MFEM CUDA PA kernel medians,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_ex35p_hdiv_3d,1024,4,5,5,20,PASS,190912.665566,1375.137600,138.832,divdiv_apply_3d+hdiv_mass_apply_3d,COMPONENT_SUM,sum of separately measured resident MFEM CUDA PA kernel medians,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_ex9p_mass_convection_2d,1024,4,5,5,20,PASS,10927.411215,86.486400,126.348,mass_apply_2d+convection_apply_2d,PARTIAL_COMPONENT_SUM,native baseline covers PA operators only while raised timing also includes one PCG algebra iteration,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_grad_div_3d,1024,4,5,5,20,PASS,191170.483176,1375.137600,139.019,divdiv_apply_3d+hdiv_mass_apply_3d,COMPONENT_SUM,sum of separately measured resident MFEM CUDA PA kernel medians,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_abs_l1_mass_3d,1024,4,5,5,20,PASS,14519.686392,136.692800,106.221,mass_apply_3d,EXACT_OPERATOR,same PA operator family and tensor extents; native value is the resident MFEM CUDA kernel median,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_abs_l1_diffusion_3d,1024,4,5,5,20,PASS,51795.756817,304.099200,170.325,diffusion_apply_3d,EXACT_OPERATOR,same PA operator family and tensor extents; native value is the resident MFEM CUDA kernel median,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_abs_l1_curlcurl_3d,1024,4,5,5,20,PASS,300721.100811,25960.494400,11.584,curlcurl_apply_3d+hcurl_mass_apply_3d,COMPONENT_SUM,sum of separately measured resident MFEM CUDA PA kernel medians,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
mfem_app_navier_tgv_pa_operators_3d,1024,4,5,5,,PASS,919070.540834,,,vector_mass+vector_diffusion+nonlinear_convection+pressure_diffusion+divergence+gradient,UNAVAILABLE,upstream navier_tgv has no MFEM Device or CUDA command-line path at this revision,Jetson_Orin_sm87_MAXN_CUDA12.6,median_of_process_runs_2_to_4
