id,function,ne,d1d,q1d,iterations,correctness,raised_runtime_us,mfem_native_runtime_us,raised_over_native,raised_checksum,mfem_native_checksum,timing_scope,hardware,raised_runtime_us_before_plan_cache,plan_cache_speedup,measurement_statistic
mass_apply_2d_stage_sliced,mfem_pa_mass_apply_2d_stage_sliced,1024,4,5,20,PASS,2379.638399,40.824000,58.290,-0.019158815000406532,-0.019158815000406504,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,7673.332805,3.225,median_of_process_runs_2_to_4
mass_apply_3d_stage_sliced,mfem_pa_mass_apply_3d_stage_sliced,1024,4,5,20,PASS,11055.884801,136.692800,80.881,-0.0012516174568922064,-0.0012516174568921769,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,17126.136005,1.549,median_of_process_runs_2_to_4
diffusion_apply_2d_stage_sliced,mfem_pa_diffusion_apply_2d_stage_sliced,1024,4,5,20,PASS,6943.662395,55.736000,124.581,0.016461057368181917,0.016461057368181962,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,14322.166401,2.063,median_of_process_runs_2_to_4
diffusion_apply_3d_stage_sliced,mfem_pa_diffusion_apply_3d_stage_sliced,1024,4,5,20,PASS,45682.379208,304.099200,150.222,-0.0003863925191181366,-0.00038639251911810901,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,64619.326394,1.415,median_of_process_runs_2_to_4
convection_apply_2d_stage_sliced,mfem_pa_convection_apply_2d_stage_sliced,1024,4,5,20,PASS,4395.380802,45.662400,96.258,0.02958561406125481,0.029585614061254803,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,11440.915207,2.603,median_of_process_runs_2_to_4
convection_apply_3d_stage_sliced,mfem_pa_convection_apply_3d_stage_sliced,1024,4,5,20,PASS,27177.638409,184.304000,147.461,0.0016542800400618459,0.0016542800400617536,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,38552.363205,1.419,median_of_process_runs_2_to_4
curlcurl_apply_2d_stage_sliced,mfem_pa_curlcurl_apply_2d_stage_sliced,1024,4,5,20,PASS,5008.371209,142.134400,35.237,-1.3713463416047122e-18,2.6342724659608741e-19,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,12027.055991,2.401,median_of_process_runs_2_to_4
curlcurl_apply_3d_stage_sliced,mfem_pa_curlcurl_apply_3d_stage_sliced,1024,4,5,20,PASS,94683.788798,16958.332800,5.583,2.1457263612972551e-18,3.8364239763515398e-18,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,123443.895997,1.304,median_of_process_runs_2_to_4
divdiv_apply_2d_stage_sliced,mfem_pa_divdiv_apply_2d_stage_sliced,1024,4,5,20,PASS,5469.668796,141.667200,38.609,0.031956259236681085,0.031956259236681113,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,13522.481604,2.472,median_of_process_runs_2_to_4
divdiv_apply_3d_stage_sliced,mfem_pa_divdiv_apply_3d_stage_sliced,1024,4,5,20,PASS,33034.998400,979.072000,33.741,0.00023148998240787787,0.00023148998240787706,cached_host_abi_vs_resident_native_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,46395.318408,1.404,median_of_process_runs_2_to_4
interp_value_2d_scratch_sliced,mfem_interp_value_2d_scratch_sliced,1024,4,5,20,PASS,674.902403,31.624000,21.341,0.27139825974030091,0.27139825974030091,cached_host_abi_vs_resident_native_dfem_launch,Jetson_Orin_sm87_MAXN_CUDA12.6,,,median_of_process_runs_2_to_4
