kernel,status,build_rc,deploy_rc,run_rc,compare_rc,reference_sha256,candidate_sha256
2mm,pass,0,0,0,0,5036e1fc6e19e9e8a217cb667d11692eb7584fac9ddc2f7621db1bff3268d90c,25624bed21afbe1423f69938b82b5dd1ccc39da629ca76fabd951204d7715d88
3mm,pass,0,0,0,0,44171f0d38fa5bb45a3147a82fac18621361598cf4634de88d240ca87d1ed209,44171f0d38fa5bb45a3147a82fac18621361598cf4634de88d240ca87d1ed209
atax,pass,0,0,0,0,ac3b860c44406820ff163e473839df10788e08ed67da778df6f7c5311addb7bb,ac3b860c44406820ff163e473839df10788e08ed67da778df6f7c5311addb7bb
bicg,pass,0,0,0,0,f4240f815266c81d8d601c97dbf590dc3a764ddd328ce0c3e883079e0d7a89d1,1e433f7c52949f92ea3785505a418c19a9d8596967060007f327c83733090442
covariance,pass,0,0,0,0,17f793e905b31c1eac4e16cbd6143948335f9cdd9734cb7aae03b5ba3f6fd9c8,17f793e905b31c1eac4e16cbd6143948335f9cdd9734cb7aae03b5ba3f6fd9c8
deriche,pass,0,0,0,0,70d956ac0cbb7265f4b24c22413b528d2358c3e5cc4f18df4fe2a5ef2eec8e58,70d956ac0cbb7265f4b24c22413b528d2358c3e5cc4f18df4fe2a5ef2eec8e58
doitgen,pass,0,0,0,0,be638581597fda30f5585797a47b67ba8663c050a5620f12bc227a2a7c5ba8cf,2afb3761943c6d1fe1fcb7bdc42d6be49ad141728a2f8d2ad12140f7aedd3082
gemm,pass,0,0,0,0,def89518449953ba02f9f8be46621924b35200a94b89c460ed842ddf03ac60d5,26426a5f3141ada63d1faadeeff88f507d55139225af2a8b210798b96c1c89ec
gemver,pass,0,0,0,0,ac143e1daac604fa589ed0cc2902ba5e6bacb6eb7dacebcb53fd2f6c80daa500,0289332dd4b38f287a59b2d4ef5f7e0319c7061e32ef598878c2bb46c84e37ad
gesummv,pass,0,0,0,0,64a4a7d23fb21690047916f8b996e93bea6407114856b35841f02c083da877d6,64a4a7d23fb21690047916f8b996e93bea6407114856b35841f02c083da877d6
mvt,pass,0,0,0,0,1533c7da6ae6ceed5543eec3849b4fd795e90ba99df816e92337bbc05cbced75,6a927413a07a77c0b15b36fa5f07b8dc6c25a8c2d5fa38d1437eb15f928ac332
